generation,mean0x0,mean0x1,mean0x2,mean0x3,mean0x4,mean1x0,mean1x1,mean1x2,mean1x3,mean1x4,mean2x0,mean2x1,mean2x2,mean2x3,mean2x4,mean3x0,mean3x1,mean3x2,mean3x3,mean3x4,mean4x0,mean4x1,mean4x2,mean4x3,mean4x4,varc0x0,varc0x1,varc0x2,varc0x3,varc0x4,varc1x0,varc1x1,varc1x2,varc1x3,varc1x4,varc2x0,varc2x1,varc2x2,varc2x3,varc2x4,varc3x0,varc3x1,varc3x2,varc3x3,varc3x4,varc4x0,varc4x1,varc4x2,varc4x3,varc4x4
0,47.9733333333,13.3033333333,11.52,-1.76666666667,-16.78,8.42333333333,43.82,-1.58,8.31,-4.99333333333,10.8133333333,9.37,42.7733333333,-10.5133333333,-2.14666666667,-5.62666666667,-1.77,-10.1466666667,47.9466666667,9.85666666667,4.51666666667,-0.673333333333,1.05333333333,-5.33,31.38,8814.54109253,6882.93443701,10378.7387291,10779.6911929,11909.3159866,13535.1947715,7939.39892977,9252.47183946,10822.3417057,9653.27085842,9235.67072464,11671.431204,8078.06885173,8618.85266444,9477.16236343,11725.5725307,9435.80979933,8422.75433668,5736.80651059,9587.31383501,9055.64855072,9996.54845039,10021.0406243,9098.88404682,9638.07585284
1,73.1766666667,12.53,17.73,-7.90333333333,-16.6233333333,15.6833333333,46.0333333333,8.40666666667,12.2833333333,-7.60666666667,16.4666666667,11.3966666667,56.8633333333,-7.94333333333,-2.04666666667,-12.11,0.863333333333,-3.65,63.04,10.9033333333,8.62666666667,-3.14,-1.27666666667,4.02333333333,37.5666666667,9126.05898551,6091.4873913,10309.1944147,10231.7866109,11887.8074805,13437.962932,9384.13266444,9274.3825641,9647.99637681,9005.16249721,7388.91192865,8996.43410256,6531.17523969,8357.57202899,9085.14831661,13016.6601003,9967.46286511,8549.85367893,4894.9348495,10303.7932999,9647.55246377,9293.52548495,9187.42487179,9211.69510591,8522.09253066
2,88.0966666667,15.3333333333,20.95,-6.36666666667,-18.1733333333,14.1133333333,56.3266666667,13.6333333333,32.0466666667,-7.22,9.49,11.9833333333,72.8966666667,-3.23666666667,-7.42666666667,-0.81,8.41666666667,-3.39333333333,70.37,8.88,14.58,-0.91,-1.35666666667,8.86666666667,52.3533333333,8772.85015608,5913.84169454,10314.0075251,11144.7480491,12027.8494537,14027.9336009,8939.99995541,10067.5440357,9269.72356745,8546.5935786,6817.26076923,8132.89938685,5038.173233,8515.20467113,8256.98122631,12223.2447157,10274.0431996,8414.4200223,4332.19374582,10381.4905686,8751.18086957,9201.23936455,9305.27370123,8496.18283166,8749.72758082
3,98.4133333333,19.9266666667,29.17,-10.06,-11.9233333333,23.14,60.15,21.0066666667,40.65,-0.766666666667,16.5866666667,17.73,77.1933333333,-3.58333333333,-3.37333333333,7.66666666667,4.8,-0.48,79.0733333333,6.12,15.67,13.4433333333,-2.83,7.14,69.3366666667,8947.07273133,5627.11835006,10306.7970903,12434.6251505,10775.7900892,12943.8064214,8561.55267559,8817.72570792,9951.47240803,9744.96209588,6635.8954738,7099.27468227,6084.99259755,8394.6719621,7841.92704571,10259.2931996,10532.6822742,9039.1935786,3538.42269788,10787.4771906,9184.4158194,8709.36467113,7621.66665552,7081.45859532,7979.51503902
4,102.496666667,19.18,23.6566666667,-17.3933333333,-7.25333333333,25.81,67.66,21.9766666667,42.33,-4.42333333333,18.8666666667,10.89,77.65,4.34333333333,6.30333333333,12.91,-2.02333333333,5.85333333333,84.9033333333,-0.896666666667,17.49,21.94,-2.26333333333,4.75666666667,73.3633333333,8463.25416945,5177.91397993,10028.7747046,11552.6875808,9837.49413601,12706.0072575,8296.33886288,9003.03958751,10999.9877258,9557.4957748,5804.82497213,6873.52966555,5236.71655518,8089.14928651,7254.69363434,12456.1958863,9165.73523969,8999.76437012,3094.8100223,10700.8354404,9579.62197324,8590.14354515,8879.30500557,6961.33523969,8466.3725641
5,109.1,9.7,20.5233333333,-23.75,-9.86,30.9533333333,64.3833333333,19.9033333333,35.4566666667,-0.05,22.68,12.6566666667,75.2733333333,4.47,8.86,7.82,0.803333333333,4.72,88.61,-8.24666666667,9.08666666667,29.8866666667,3.82333333333,1.73333333333,81.1633333333,8208.20401338,5029.61538462,9184.61818283,11137.9941472,8397.43183946,12027.4961427,7134.21042363,9970.89028986,11187.3191862,8825.05769231,5470.20494983,8305.85162765,5584.60731327,8686.43053512,6715.05725753,11679.5929097,8354.3190524,7830.21565217,3088.82732441,11040.9891193,9862.49413601,8421.81988852,8375.30982163,7108.7580825,7095.31437012
6,113.443333333,6.95666666667,19.86,-22.0466666667,-2.45666666667,28.32,67.7166666667,25.95,42.5033333333,3.50333333333,24.7033333333,13.2766666667,88.41,6.69333333333,5.80333333333,2.24,4.65666666667,10.23,90.7633333333,-6.65,7.66,28.0966666667,-0.386666666667,-3.85,84.3633333333,7605.62554069,4686.42955407,8379.61913043,11010.1382832,7608.38942029,13004.0912375,7674.39102564,9025.37207358,10288.7458082,9450.22406912,4774.89162765,7324.94995541,5852.3029097,8262.13975474,7856.4461427,10652.7515719,9891.14928651,8137.2880602,3154.14112598,10630.6630435,11408.0445485,8145.61269788,7989.50216276,7075.81354515,6833.0815942
7,122.923333333,12.3433333333,19.95,-10.65,2.1,22.7966666667,72.1766666667,21.7766666667,37.0,-2.96,26.05,22.6266666667,91.03,3.72333333333,-0.696666666667,-5.15333333333,20.78,18.8366666667,96.8933333333,-3.12666666667,4.77333333333,39.0133333333,0.996666666667,1.85333333333,86.3433333333,7247.50246377,5272.86166109,7818.77675585,12786.0944816,5963.43478261,12463.9752397,7567.58406912,7987.58540691,10247.9397993,9339.26929766,4045.90050167,6679.41199554,4721.88204013,7483.53189521,8175.46286511,11297.2138685,10479.8377258,8400.49831661,3356.1825641,9975.76985507,9703.77453735,7779.79246377,7498.22406912,7836.60717949,7520.42687848
8,130.3,12.05,24.65,-14.41,6.32333333333,25.8966666667,77.7766666667,16.6333333333,36.4666666667,1.24666666667,28.5233333333,29.86,90.6733333333,4.53666666667,0.706666666667,-9.38666666667,23.1,21.35,98.6866666667,-14.97,4.16666666667,36.0933333333,-2.73333333333,4.06666666667,89.3933333333,7146.02341137,5722.26170569,7571.90050167,11266.9651171,5153.02219621,11382.9625307,6663.51851728,8681.69788183,11181.2865106,8714.72156076,4185.88239688,5810.47531773,3862.10697882,6976.89831661,8193.37855072,11068.1041695,12322.3244147,7461.69314381,3419.06537347,10225.0793645,9247.45039019,7475.42269788,6977.68115942,6671.0657748,7624.05881828
9,131.71,10.4966666667,19.0233333333,-17.62,4.29333333333,27.3366666667,87.82,21.35,40.3666666667,-1.49333333333,35.1166666667,27.0266666667,90.2833333333,0.456666666667,3.32,-21.27,15.0766666667,12.46,99.1533333333,-17.28,15.0766666667,35.1166666667,-0.64,-2.63333333333,91.64,7661.08284281,5792.76587514,8412.11651059,11436.22301,5265.692932,11815.0066778,6294.62301003,8316.75668896,10349.7246377,8393.44811594,3660.38433668,6455.95915273,3172.35089186,7442.78406912,7575.70996656,8758.49207358,12818.0643367,6754.44989967,3418.61186176,9770.15545151,8031.62286511,7193.94286511,7652.92013378,7026.60758082,8489.18100334
